"timestamp","load_kwh"
"2026-01-01T00:00:00+00:00","253"
"2026-01-01T01:00:00+00:00","275"
"2026-01-01T02:00:00+00:00","278"
"2026-01-01T03:00:00+00:00","267"
"2026-01-01T04:00:00+00:00","253"
"2026-01-01T05:00:00+00:00","261"
"2026-01-01T06:00:00+00:00","253"
"2026-01-01T07:00:00+00:00","263"
"2026-01-01T08:00:00+00:00","510"
"2026-01-01T09:00:00+00:00","531"
"2026-01-01T10:00:00+00:00","515"
"2026-01-01T11:00:00+00:00","510"
"2026-01-01T12:00:00+00:00","507"
"2026-01-01T13:00:00+00:00","533"
"2026-01-01T14:00:00+00:00","512"
"2026-01-01T15:00:00+00:00","521"
"2026-01-01T16:00:00+00:00","511"
"2026-01-01T17:00:00+00:00","508"
"2026-01-01T18:00:00+00:00","516"
"2026-01-01T19:00:00+00:00","242"
"2026-01-01T20:00:00+00:00","274"
"2026-01-01T21:00:00+00:00","240"
"2026-01-01T22:00:00+00:00","266"
"2026-01-01T23:00:00+00:00","277"
"2026-01-02T00:00:00+00:00","272"
"2026-01-02T01:00:00+00:00","258"
"2026-01-02T02:00:00+00:00","267"
"2026-01-02T03:00:00+00:00","253"
"2026-01-02T04:00:00+00:00","274"
"2026-01-02T05:00:00+00:00","256"
"2026-01-02T06:00:00+00:00","278"
"2026-01-02T07:00:00+00:00","262"
"2026-01-02T08:00:00+00:00","516"
"2026-01-02T09:00:00+00:00","528"
"2026-01-02T10:00:00+00:00","505"
"2026-01-02T11:00:00+00:00","519"
"2026-01-02T12:00:00+00:00","529"
"2026-01-02T13:00:00+00:00","523"
"2026-01-02T14:00:00+00:00","508"
"2026-01-02T15:00:00+00:00","524"
"2026-01-02T16:00:00+00:00","500"
"2026-01-02T17:00:00+00:00","535"
"2026-01-02T18:00:00+00:00","529"
"2026-01-02T19:00:00+00:00","269"
"2026-01-02T20:00:00+00:00","255"
"2026-01-02T21:00:00+00:00","258"
"2026-01-02T22:00:00+00:00","249"
"2026-01-02T23:00:00+00:00","241"
"2026-01-03T00:00:00+00:00","215"
"2026-01-03T01:00:00+00:00","218"
"2026-01-03T02:00:00+00:00","208"
"2026-01-03T03:00:00+00:00","227"
"2026-01-03T04:00:00+00:00","221"
"2026-01-03T05:00:00+00:00","238"
"2026-01-03T06:00:00+00:00","216"
"2026-01-03T07:00:00+00:00","231"
"2026-01-03T08:00:00+00:00","211"
"2026-01-03T09:00:00+00:00","237"
"2026-01-03T10:00:00+00:00","229"
"2026-01-03T11:00:00+00:00","221"
"2026-01-03T12:00:00+00:00","220"
"2026-01-03T13:00:00+00:00","221"
"2026-01-03T14:00:00+00:00","212"
"2026-01-03T15:00:00+00:00","212"
"2026-01-03T16:00:00+00:00","222"
"2026-01-03T17:00:00+00:00","209"
"2026-01-03T18:00:00+00:00","225"
"2026-01-03T19:00:00+00:00","207"
"2026-01-03T20:00:00+00:00","212"
"2026-01-03T21:00:00+00:00","234"
"2026-01-03T22:00:00+00:00","215"
"2026-01-03T23:00:00+00:00","220"
"2026-01-04T00:00:00+00:00","232"
"2026-01-04T01:00:00+00:00","209"
"2026-01-04T02:00:00+00:00","238"
"2026-01-04T03:00:00+00:00","233"
"2026-01-04T04:00:00+00:00","214"
"2026-01-04T05:00:00+00:00","224"
"2026-01-04T06:00:00+00:00","233"
"2026-01-04T07:00:00+00:00","217"
"2026-01-04T08:00:00+00:00","202"
"2026-01-04T09:00:00+00:00","208"
"2026-01-04T10:00:00+00:00","217"
"2026-01-04T11:00:00+00:00","200"
"2026-01-04T12:00:00+00:00","239"
"2026-01-04T13:00:00+00:00","200"
"2026-01-04T14:00:00+00:00","205"
"2026-01-04T15:00:00+00:00","214"
"2026-01-04T16:00:00+00:00","200"
"2026-01-04T17:00:00+00:00","203"
"2026-01-04T18:00:00+00:00","201"
"2026-01-04T19:00:00+00:00","200"
"2026-01-04T20:00:00+00:00","220"
"2026-01-04T21:00:00+00:00","213"
"2026-01-04T22:00:00+00:00","239"
"2026-01-04T23:00:00+00:00","216"
"2026-01-05T00:00:00+00:00","274"
"2026-01-05T01:00:00+00:00","247"
"2026-01-05T02:00:00+00:00","241"
"2026-01-05T03:00:00+00:00","275"
"2026-01-05T04:00:00+00:00","276"
"2026-01-05T05:00:00+00:00","275"
"2026-01-05T06:00:00+00:00","272"
"2026-01-05T07:00:00+00:00","240"
"2026-01-05T08:00:00+00:00","501"
"2026-01-05T09:00:00+00:00","501"
"2026-01-05T10:00:00+00:00","516"
"2026-01-05T11:00:00+00:00","537"
"2026-01-05T12:00:00+00:00","528"
"2026-01-05T13:00:00+00:00","520"
"2026-01-05T14:00:00+00:00","532"
"2026-01-05T15:00:00+00:00","534"
"2026-01-05T16:00:00+00:00","521"
"2026-01-05T17:00:00+00:00","514"
"2026-01-05T18:00:00+00:00","509"
"2026-01-05T19:00:00+00:00","268"
"2026-01-05T20:00:00+00:00","241"
"2026-01-05T21:00:00+00:00","256"
"2026-01-05T22:00:00+00:00","257"
"2026-01-05T23:00:00+00:00","273"
"2026-01-06T00:00:00+00:00","243"
"2026-01-06T01:00:00+00:00","251"
"2026-01-06T02:00:00+00:00","274"
"2026-01-06T03:00:00+00:00","278"
"2026-01-06T04:00:00+00:00","253"
"2026-01-06T05:00:00+00:00","271"
"2026-01-06T06:00:00+00:00","242"
"2026-01-06T07:00:00+00:00","241"
"2026-01-06T08:00:00+00:00","524"
"2026-01-06T09:00:00+00:00","537"
"2026-01-06T10:00:00+00:00","507"
"2026-01-06T11:00:00+00:00","538"
"2026-01-06T12:00:00+00:00","518"
"2026-01-06T13:00:00+00:00","511"
"2026-01-06T14:00:00+00:00","537"
"2026-01-06T15:00:00+00:00","510"
"2026-01-06T16:00:00+00:00","520"
"2026-01-06T17:00:00+00:00","517"
"2026-01-06T18:00:00+00:00","508"
"2026-01-06T19:00:00+00:00","261"
"2026-01-06T20:00:00+00:00","278"
"2026-01-06T21:00:00+00:00","276"
"2026-01-06T22:00:00+00:00","249"
"2026-01-06T23:00:00+00:00","244"
"2026-01-07T00:00:00+00:00","278"
"2026-01-07T01:00:00+00:00","250"
"2026-01-07T02:00:00+00:00","271"
"2026-01-07T03:00:00+00:00","241"
"2026-01-07T04:00:00+00:00","255"
"2026-01-07T05:00:00+00:00","278"
"2026-01-07T06:00:00+00:00","275"
"2026-01-07T07:00:00+00:00","272"
"2026-01-07T08:00:00+00:00","500"
"2026-01-07T09:00:00+00:00","517"
"2026-01-07T10:00:00+00:00","517"
"2026-01-07T11:00:00+00:00","508"
"2026-01-07T12:00:00+00:00","529"
"2026-01-07T13:00:00+00:00","518"
"2026-01-07T14:00:00+00:00","503"
"2026-01-07T15:00:00+00:00","500"
"2026-01-07T16:00:00+00:00","510"
"2026-01-07T17:00:00+00:00","522"
"2026-01-07T18:00:00+00:00","530"
"2026-01-07T19:00:00+00:00","268"
"2026-01-07T20:00:00+00:00","271"
"2026-01-07T21:00:00+00:00","267"
"2026-01-07T22:00:00+00:00","261"
"2026-01-07T23:00:00+00:00","240"
