"timestamp","energy_kwh"
"2026-01-01T00:00:00+00:00","256"
"2026-01-01T01:00:00+00:00","187"
"2026-01-01T02:00:00+00:00","227"
"2026-01-01T03:00:00+00:00","165"
"2026-01-01T04:00:00+00:00","165"
"2026-01-01T05:00:00+00:00","119"
"2026-01-01T06:00:00+00:00","149"
"2026-01-01T07:00:00+00:00","150"
"2026-01-01T08:00:00+00:00","212"
"2026-01-01T09:00:00+00:00","175"
"2026-01-01T10:00:00+00:00","189"
"2026-01-01T11:00:00+00:00","132"
"2026-01-01T12:00:00+00:00","141"
"2026-01-01T13:00:00+00:00","111"
"2026-01-01T14:00:00+00:00","244"
"2026-01-01T15:00:00+00:00","253"
"2026-01-01T16:00:00+00:00","104"
"2026-01-01T17:00:00+00:00","207"
"2026-01-01T18:00:00+00:00","110"
"2026-01-01T19:00:00+00:00","230"
"2026-01-01T20:00:00+00:00","197"
"2026-01-01T21:00:00+00:00","106"
"2026-01-01T22:00:00+00:00","223"
"2026-01-01T23:00:00+00:00","135"
"2026-01-02T00:00:00+00:00","122"
"2026-01-02T01:00:00+00:00","245"
"2026-01-02T02:00:00+00:00","237"
"2026-01-02T03:00:00+00:00","257"
"2026-01-02T04:00:00+00:00","167"
"2026-01-02T05:00:00+00:00","222"
"2026-01-02T06:00:00+00:00","112"
"2026-01-02T07:00:00+00:00","210"
"2026-01-02T08:00:00+00:00","193"
"2026-01-02T09:00:00+00:00","203"
"2026-01-02T10:00:00+00:00","189"
"2026-01-02T11:00:00+00:00","143"
"2026-01-02T12:00:00+00:00","181"
"2026-01-02T13:00:00+00:00","238"
"2026-01-02T14:00:00+00:00","179"
"2026-01-02T15:00:00+00:00","230"
"2026-01-02T16:00:00+00:00","101"
"2026-01-02T17:00:00+00:00","173"
"2026-01-02T18:00:00+00:00","183"
"2026-01-02T19:00:00+00:00","235"
"2026-01-02T20:00:00+00:00","102"
"2026-01-02T21:00:00+00:00","145"
"2026-01-02T22:00:00+00:00","191"
"2026-01-02T23:00:00+00:00","162"
"2026-01-03T00:00:00+00:00","130"
"2026-01-03T01:00:00+00:00","195"
"2026-01-03T02:00:00+00:00","225"
"2026-01-03T03:00:00+00:00","210"
"2026-01-03T04:00:00+00:00","107"
"2026-01-03T05:00:00+00:00","247"
"2026-01-03T06:00:00+00:00","208"
"2026-01-03T07:00:00+00:00","121"
"2026-01-03T08:00:00+00:00","136"
"2026-01-03T09:00:00+00:00","248"
"2026-01-03T10:00:00+00:00","138"
"2026-01-03T11:00:00+00:00","216"
"2026-01-03T12:00:00+00:00","226"
"2026-01-03T13:00:00+00:00","112"
"2026-01-03T14:00:00+00:00","201"
"2026-01-03T15:00:00+00:00","126"
"2026-01-03T16:00:00+00:00","236"
"2026-01-03T17:00:00+00:00","107"
"2026-01-03T18:00:00+00:00","159"
"2026-01-03T19:00:00+00:00","253"
"2026-01-03T20:00:00+00:00","106"
"2026-01-03T21:00:00+00:00","123"
"2026-01-03T22:00:00+00:00","191"
"2026-01-03T23:00:00+00:00","145"
"2026-01-04T00:00:00+00:00","113"
"2026-01-04T01:00:00+00:00","165"
"2026-01-04T02:00:00+00:00","103"
"2026-01-04T03:00:00+00:00","198"
"2026-01-04T04:00:00+00:00","209"
"2026-01-04T05:00:00+00:00","124"
"2026-01-04T06:00:00+00:00","258"
"2026-01-04T07:00:00+00:00","133"
"2026-01-04T08:00:00+00:00","212"
"2026-01-04T09:00:00+00:00","240"
"2026-01-04T10:00:00+00:00","228"
"2026-01-04T11:00:00+00:00","181"
"2026-01-04T12:00:00+00:00","115"
"2026-01-04T13:00:00+00:00","134"
"2026-01-04T14:00:00+00:00","241"
"2026-01-04T15:00:00+00:00","240"
"2026-01-04T16:00:00+00:00","132"
"2026-01-04T17:00:00+00:00","216"
"2026-01-04T18:00:00+00:00","115"
"2026-01-04T19:00:00+00:00","229"
"2026-01-04T20:00:00+00:00","198"
"2026-01-04T21:00:00+00:00","166"
"2026-01-04T22:00:00+00:00","127"
"2026-01-04T23:00:00+00:00","228"
"2026-01-05T00:00:00+00:00","135"
"2026-01-05T01:00:00+00:00","173"
"2026-01-05T02:00:00+00:00","113"
"2026-01-05T03:00:00+00:00","237"
"2026-01-05T04:00:00+00:00","168"
"2026-01-05T05:00:00+00:00","112"
"2026-01-05T06:00:00+00:00","165"
"2026-01-05T07:00:00+00:00","245"
"2026-01-05T08:00:00+00:00","239"
"2026-01-05T09:00:00+00:00","136"
"2026-01-05T10:00:00+00:00","204"
"2026-01-05T11:00:00+00:00","205"
"2026-01-05T12:00:00+00:00","115"
"2026-01-05T13:00:00+00:00","258"
"2026-01-05T14:00:00+00:00","224"
"2026-01-05T15:00:00+00:00","126"
"2026-01-05T16:00:00+00:00","218"
"2026-01-05T17:00:00+00:00","149"
"2026-01-05T18:00:00+00:00","170"
"2026-01-05T19:00:00+00:00","233"
"2026-01-05T20:00:00+00:00","175"
"2026-01-05T21:00:00+00:00","183"
"2026-01-05T22:00:00+00:00","127"
"2026-01-05T23:00:00+00:00","195"
"2026-01-06T00:00:00+00:00","228"
"2026-01-06T01:00:00+00:00","213"
"2026-01-06T02:00:00+00:00","187"
"2026-01-06T03:00:00+00:00","129"
"2026-01-06T04:00:00+00:00","172"
"2026-01-06T05:00:00+00:00","229"
"2026-01-06T06:00:00+00:00","108"
"2026-01-06T07:00:00+00:00","175"
"2026-01-06T08:00:00+00:00","192"
"2026-01-06T09:00:00+00:00","188"
"2026-01-06T10:00:00+00:00","127"
"2026-01-06T11:00:00+00:00","135"
"2026-01-06T12:00:00+00:00","147"
"2026-01-06T13:00:00+00:00","188"
"2026-01-06T14:00:00+00:00","166"
"2026-01-06T15:00:00+00:00","185"
"2026-01-06T16:00:00+00:00","129"
"2026-01-06T17:00:00+00:00","151"
"2026-01-06T18:00:00+00:00","117"
"2026-01-06T19:00:00+00:00","175"
"2026-01-06T20:00:00+00:00","110"
"2026-01-06T21:00:00+00:00","157"
"2026-01-06T22:00:00+00:00","190"
"2026-01-06T23:00:00+00:00","203"
"2026-01-07T00:00:00+00:00","172"
"2026-01-07T01:00:00+00:00","169"
"2026-01-07T02:00:00+00:00","171"
"2026-01-07T03:00:00+00:00","236"
"2026-01-07T04:00:00+00:00","122"
"2026-01-07T05:00:00+00:00","175"
"2026-01-07T06:00:00+00:00","204"
"2026-01-07T07:00:00+00:00","101"
"2026-01-07T08:00:00+00:00","149"
"2026-01-07T09:00:00+00:00","143"
"2026-01-07T10:00:00+00:00","165"
"2026-01-07T11:00:00+00:00","226"
"2026-01-07T12:00:00+00:00","236"
"2026-01-07T13:00:00+00:00","100"
"2026-01-07T14:00:00+00:00","204"
"2026-01-07T15:00:00+00:00","235"
"2026-01-07T16:00:00+00:00","145"
"2026-01-07T17:00:00+00:00","208"
"2026-01-07T18:00:00+00:00","164"
"2026-01-07T19:00:00+00:00","153"
"2026-01-07T20:00:00+00:00","235"
"2026-01-07T21:00:00+00:00","258"
"2026-01-07T22:00:00+00:00","160"
"2026-01-07T23:00:00+00:00","216"
